"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Nigeria","NGA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","500","550","600","650","1000","1300","1600","1800","2350","2900","3450","4000","4550","5100","5650","6200","6750","7300","7850","8400","8950","9500","10050","10600","11150","11700","12250","12800","13350","13900","14450","15000","15550","16100","16650","17200","17750","18300","18850","19400","20006","21000","22000","23000","23000","23999","24800","","","","","","","","",
"Nigeria","NGA","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213.507755133099","1086.44940428055","311.230782108876","225.687257484352","342.633605072464","","",
"Nigeria","NGA","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.52888235294118","6.141","4.54511428571429","7.19733333333333","10.0388858695652","4.20505405405405","5.87683333333333","5.26103125","12.2136666666667","6.56129411764706","11.3833428571429","17.8008235294118","","",
"Nigeria","NGA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","531765.1","539000","560169.1","569710.7","590701.3","565059.9","582128.7","581719.5","638140.3","610304.7","594775.6","551500","603000","561500","551500","551500","504930","489550","482340","504380","472190","484030","486930","526060","549240","600010","603410","607880","611820","615860","639290","644470","650650","662160","684000","686000","688000","696500","709000","713000","695000","706000","717500","718000","727000","733000","737000","727000","690000","700000","710000","720000","708000","","",
"Nigeria","NGA","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","58.3863214642555","59.1806932595496","61.5050012626679","62.5526422697278","64.8573514718315","62.0419974307454","63.9161039559933","63.871174939886","70.0660210591038","67.0097499917652","65.3046982223833","60.5531583165893","66.2077143515926","61.651130362221","60.5531583165893","60.5531583165893","55.4399025000823","53.7512214939008","52.9595836490003","55.3795140375726","51.8451420226841","53.1451409247121","53.4635528179453","57.7599174325022","60.3050166342765","65.8794207099487","66.2527312054635","66.7435247098609","67.1761256958398","67.619706402275","70.1922549051901","70.7610044248273","71.4395511490278","72.7033169735499","75.1012879212095","75.3208823303359","75.5404767394622","76.4737529782492","77.8462180352888","78.2854068535415","76.3090571714044","77.5168264215993","78.7794942740758","78.8343928763574","79.8225677174259","80.4813509448049","80.9205397630576","79.8225677174259","75.7600711485886","76.8580431942203","77.956015239852","79.0539872854837","77.7364208307256","","",
"Nigeria","NGA","Arable land (hectares)","AG.LND.ARBL.HA","","23676510","24400000","26516910","27471070","29570130","27105990","29212870","29171950","34714030","31880470","30327560","26000000","31150000","27000000","26000000","26000000","20611000","18855000","17716000","19603000","16466000","17432000","17505000","21000000","23000000","27860000","27882000","28112000","28088000","28174000","30000000","30100000","30100000","31000000","32900000","33100000","33200000","34000000","35000000","35000000","33000000","34000000","35000000","35000000","36000000","36800000","37000000","36000000","32000000","33000000","34000000","35000000","34000000","","",
"Nigeria","NGA","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.513098799037469","0.51785035478798","0.550961115315138","0.558697806066766","0.588594193437317","0.528007480076262","0.55676869398804","0.543841396695675","0.63278409760288","0.567956933679214","0.52786055646096","0.441956501315271","0.516708400615319","0.436490453153557","0.409026278648397","0.397389602722889","0.305685829094021","0.271247220615111","0.247363780134091","0.265990589499083","0.21743157349417","0.224264047398448","0.219555390363276","0.256801525988039","0.274130746301887","0.323509441569637","0.315361159274951","0.309693522940417","0.30143886941965","0.294653653058449","0.305855805137064","0.29922720448883","0.29182192894043","0.293135648199701","0.303436052678048","0.29775652333942","0.291291809422685","0.290944711254531","0.292089634363948","0.284838325318946","0.261873721555306","0.263063658086012","0.26398859738212","0.257289903258335","0.257858778096212","0.256771634934286","0.251439829409085","0.238228086491857","0.206176075205816","0.206994219253621","0.20760738298016","0.208035640523281","0.196740453923163","","",
"Nigeria","NGA","Arable land (% of land area)","AG.LND.ARBL.ZS","","25.9961461181198","26.7905179134139","29.1148259165322","30.1624669235921","32.4671761256958","29.7616192891729","32.0749146326735","32.0299856165662","38.1150345312208","35.0038648616006","33.2988130922187","28.5472731864247","34.201829221428","29.6452452320564","28.5472731864247","28.5472731864247","22.6303018325153","20.702262920386","19.4516727604115","21.5235460105186","18.0792077033719","19.1398486994521","19.2200006587832","23.0574129582661","25.2533570495295","30.5895011912997","30.6136565763036","30.8661901467989","30.8398388177037","30.934264413628","32.9391613689515","33.0489585735147","33.0489585735147","34.0371334145833","36.1232803012835","36.3428747104099","36.452671914973","37.3310495514784","38.4290215971101","38.4290215971101","36.2330775058467","37.3310495514784","38.4290215971101","38.4290215971101","39.5269936427419","40.4053712792472","40.6249656883736","39.5269936427419","35.135105460215","36.2330775058467","37.3310495514784","38.4290215971101","37.3310495514784","","",
"Nigeria","NGA","Land under cereal production (hectares)","AG.LND.CREL.HA","","10621000","10634000","10741000","11291000","12245000","10102000","10635000","11039000","14400000","12424000","11736500","8869500","12504500","10325000","8632000","9874000","7460000","6554000","6113000","7165000","4864500","5186000","5785000","8294000","9527000","12675000","13231000","12685000","14372700","15400000","17014000","16836000","17423700","17993000","18598000","17752600","18476000","18339000","18079200","18242000","16286000","17027000","17371000","17716000","18310000","19147000","19410000","18899000","13890000","16132210","15473907","15298290","17545000","","",
"Nigeria","NGA","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","3.84290215971101","3.84290215971101","3.84290215971101","3.84290215971101","3.84290215971101","3.73310495514784","3.29391613689515","3.29391613689515","3.40371334145833","3.45861194373991","3.45861194373991","3.45861194373991","3.45861194373991","3.45861194373991","3.45861194373991","3.45861194373991","3.5135105460215","3.5135105460215","3.73310495514784","3.84290215971101","3.5135105460215","3.5135105460215","3.5135105460215","3.73310495514784","3.84290215971101","3.84290215971101","3.95269936427419","3.95269936427419","4.17229377340053","4.2820909779637","4.61148259165322","4.83107700077956","5.27026581903225","5.38006302359542","5.70945463728493","5.70945463728493","5.81925184184811","5.87415044412969","6.14864345553762","6.58783227379031","6.80742668291665","6.91722388747982","7.08191969432458","7.13681829660617","7.027021092043","6.80742668291665","7.027021092043","7.027021092043","7.35641270573251","7.35641270573251","7.35641270573251","7.35641270573251","7.13681829660617","","",
